Name,z,ObsID,mass,mass_e,mass_E,mass_f,NH,NH_low,NH_high,KT,KT_low,KT_high,Tau,Tau_low,Tau_high,Fe line,Fe EW (KeV),chi^2,dof,model,fl_obs_210,fl_obs_2040,fl_int_210,fl_int_2040,fl_refl_210,fl_refl_2040,lum210,lum2040,gamma,theta,yy,gTortosa,ratio_210,ratio_2040
Mrk290,0.0296,60061266002,7.28,0.06,0.06,1,0.000286313,0,0,26.5112,16.0869,87.8175,3.85276,1.31309,5.83007,6.31489,0.12635,439.669,481,WA*COMPTT+GA+PEX,7.78117E-12,6.1135E-12,7.77482E-12,6.11348E-12,3.72983E-13,1.7174E-12,0.155,0.122675,1.29551877296572,0.051881017612525,4.68516665187388,1.59636614343904,0.047973200665739,0.280920196025831
WKK6092,0.0156,60160632002,7.26,0,0,2,1.64621,0,0,38.9402,20.5675,156.656,2.82572,1.01763,4.72923,6.27991,0.136928,574.89,531,WA*COMPTT+GA+PEX,9.21027E-12,7.70365E-12,1.04631E-11,7.70844E-12,3.36441E-13,1.79956E-12,0.0569366,0.0420476,1.36617526942406,0.076203913894325,4.29960673653288,1.627123723234,0.032155001863692,0.233453201944881
2E1739d1m1210,0.037,60160670002,7.79,0,0,2,1.11448E-07,0,0,78.412,,,1.3,1.19,1.46,0,0,535.293,533,WA*COMPTT+GA+PEX,1.12866E-11,8.48199E-12,1.12765E-11,8.48196E-12,4.59671E-13,3.08829E-12,0.356153,0.267451,1.76761934287333,0.153448140900196,2.96169628544989,1.76764779463931,0.040763623464728,0.364100986092837
1RXSJ174538d1p290823,0.1106,60160674002,8.82,0,0,2,4.90612,0,0,39.1441,17.6533,384.385,2.58976,0.250334,5.04601,6.20575,0.0572755,412.947,380,WA*COMPTT+GA+PEX,5.91305E-12,5.13637E-12,8.29876E-12,5.14655E-12,2.16251E-13,1.00002E-12,2.56987,1.6238,1.4260871246903,0.076602935420744,3.72143477170009,1.68018840104527,0.026058230386226,0.194308808813671
IGRJ17476m2253,0.047,60463061002,8.53,0,0,2,1.93904,0,0,40.42,,,3.23,2.81,3.38,5.97,0.0486058,481.528,498,WA*COMPTT+PO+PEX,6.47645E-12,5.65745E-12,7.5136E-12,5.66261E-12,2.17992E-14,1.56698E-13,0.35399,0.26678,1.27730867875411,0.079099804305284,5.69070280674844,1.5288605428986,0.002901298977854,0.027672398416984
2MASXiJ1802473m145454,0.036,60160680002,7.76,0,0,2,2.54483,0,0,85.1053,,,1.09,1.01,1.19,6.23714,0.124953,685.427,677,WA*COMPTT+GA+PEX,1.99932E-11,1.37071E-11,2.45856E-11,1.37215E-11,3.5516E-13,2.41464E-12,0.736212,0.410665,1.95770035930578,0.166546575342466,2.52866933413615,1.83084236495629,0.014445854483926,0.175974929854608
H1821p643,0.297,60160683002,9.59,0,0,2,2.54192,0,0,77.6,38.9181,281.672,0.848692,0.127563,1.72006,0,0,505.692,568,WA*COMPTT+GA+PEX,1.39127E-11,7.34776E-12,1.74638E-11,7.35367E-12,7.09524E-13,2.88757E-12,50.2188,21.9041,2.51774421702044,0.151859099804305,1.53196654435824,2.04652008467847,0.040628271052119,0.392670598490278
3C382,0.0579,60001084002,8.19,0,0,2,1.12754,0,0,33.886,33.3447,80.1265,3.32916,2.9861,3.43774,6.09016,0.0581668,1315.54,1299,WA*COMPTT+GA+PEX,2.88067E-11,2.00095E-11,3.15832E-11,2.00205E-11,0,0,2.50009,1.59636,1.30843906697354,0.066313111545988,4.83698664513182,1.58509306235668,0,0
3C390.3,0.056,60001082003,8.64,0.04,0.05,1,0.791382,0,0,52.1834,35.1186,93.2956,2.28705,1.31428,3.23452,6.02742,0.0575003,1227.11,1186,WA*COMPTT+GA+PEX,3.93268E-11,2.71424E-11,4.19898E-11,2.71524E-11,2.09031E-13,1.12863E-12,3.1024,2.02058,1.41157040185012,0.102120156555773,4.32518123873452,1.62498077366994,0.00497813754769,0.04156649135988
2MASXJ18560128p1538059,0.084,60160701002,8.29,0,0,2,2.50788,0,0,26.8776,18.6759,52.6611,3.61441,1.99837,4.85651,5.86,0.257,431.672,451,WA*COMPTT+GA+PEX,7.13323E-12,6.51326E-12,8.57693E-12,6.51865E-12,5.19986E-13,2.20165E-12,1.47421,1.14449,1.32797228528051,0.052598043052838,4.2472642189109,1.6315586059017,0.060626121467705,0.337746312503356
